uniqueTag,area,templateName,metadata.question,metadata.actions[0].action,metadata.actions[0].nextTag,metadata.actions[1].action,metadata.actions[1].nextTag,metadata.resources[0].text,metadata.resources[0].link,metadata.resources[1].text,metadata.resources[1].link
currentBusinessStatus,Evaluate Basic Needs Level,surveyController,Are you currently in business?,yes,alreadyInBusiness.json,no,notYetInBusiness.json,,,,
alreadyInBusiness,Evaluate Basic Needs Level,surveyController,Are you happy with the current performance of your business?,yes,endOfSurvey.json,no,notSatisfiedWithBusiness.json,,,,
notSatisfiedWithBusiness,Evaluate Basic Needs Level,surveyController,Special conditions for basic assistance :- Do you want to evaluate your personal attributes?,yes,anotherLanguage.json,no,endOfSurvey.json,,,,
anotherLanguage,Evaluate Basic Needs Level,surveyController,Do you want help in another language?,yes,anotherLanguageInfo.json,no,isWomanOwned.json,,,,
hasBusiness,Evaluate Basic Needs Level,surveyController,Do you have a business idea?,yes,hasBusinessIdea.json,no,hasNoBusinessIdea.json,,,,
isWomanOwned,Evaluate Basic Needs Level,surveyController,Is the company woman owned?,yes,womenOwnedInfo.json,no,isMinorityOwned.json,,,,
isMinorityOwned,Evaluate Basic Needs Level,surveyController,Is the company minority owned?,yes,minorityOwnedInfo.json,no,isVeteranOwned.json,,,,
isVeteranOwned,Evaluate Basic Needs Level,surveyController,Is the company veteran owned?,yes,veteranOwnedInfo.json,no,isDisabledOwned.json,,,,
isDisabledOwned,Evaluate Basic Needs Level,surveyController,Is the company disabled individual owned?,yes,disabledOwnedInfo.json,no,updateMarketPlan.json,,,,
notYetInBusiness,Evaluate Basic Needs Level,surveyController,Do you have a business idea?,yes,hasBusinessIdea.json,no,hasNoBusinessIdea.json,,,,
reviewOperations,Evaluate Basic Needs Level,surveyController,"Do you want help to review your operations (profit level, cost containment, customer satisfaction, etc)?",yes,operationsInfo.json,no,operationsInfo.json,,,,
hasBusinessIdea,Evaluate Basic Needs Level,surveyController,Do you have a detailed business plan that shows how you'll make sufficient profit to achieve your financial goals?,yes,notSatisfiedWithBusiness.json,no,hasNoBusinessPlan.json,,,,
hasBusinessPlan,Evaluate Basic Needs Level,surveyController,Are you happy with the current performance of your business?,yes,endOfSurvey.json,no,notSatisfiedWithBusiness.json,,,,
hasNoBusiness,Evaluate Basic Needs Level,surveyController,Do you have a business idea?,yes,hasBusinessIdea.json,no,hasNoBusinessIdea.json,,,,
updateMarketPlan,Evaluate Basic Needs Level,surveyController,Do you want help to develop or update a business or marketing plan?,yes,marketPlanInfo.json,no,reviewOperations.json,,,,
womenOwnedInfo,Evaluate Basic Needs Level,surveyResources,,,,,,AnewAmerica - WBE support,https://www.paypal.com,,
veteranOwnedInfo,Evaluate Basic Needs Level,surveyResources,,,,,,PARTNER?,https://www.paypal.com,,
hasNoBusinessIdea,Evaluate Basic Needs Level,surveyResources,,,,,,BOS - how to develop a business idea; SCORE - Is owning a business right for you; FranNet,https://www.paypal.com,Google,www.google.com
anotherLanguageInfo,Evaluate Basic Needs Level,surveyResources,,,,,,"(SBDC, SBDC Hispanic, MBDA, AnewAmerica) - language support",https://www.paypal.com,,
disabledOwnedInfo,Evaluate Basic Needs Level,surveyResources,,,,,,PARTNER?,https://www.paypal.com,,
endOfSurvey,Evaluate Basic Needs Level,surveyResources,,,,,,THANK YOU for Taking the survey,www.paypal.com,,
hasNoBusinessPlan,Evaluate Basic Needs Level,surveyResources,,,,,,"SBDC, SBDC Hispanic, MBDA, AnewAmerica - Planning and profit information",https://www.paypal.com,Google,https://www.google.com
marketPlanInfo,Evaluate Basic Needs Level,surveyResources,,,,,,"(SBDC, SBDC Hispanic, MBDA, AnewAmerica, SCORE) - Business plan support",https://www.paypal.com,,
minorityOwnedInfo,Evaluate Basic Needs Level,surveyResources,,,,,,"SBDC, SBDC Hispanic, MBDA, AnewAmerica - DBE support",https://www.paypal.com,,
operationsInfo,Evaluate Basic Needs Level,surveyResources,,,,,,"(SBDC, SBDC Hispanic, MBDA, AnewAmerica, SCORE) - operations (profit level, cost containment, customer satisfaction, etc)",https://www.paypal.com,,
